root             10699  17.4  0.4 435340704  33392   ??  Rs    7:44AM   0:00.14 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
root              5836   0.0  0.0 435305312   1760   ??  Ss    9:36PM   0:00.51 /usr/libexec/securityd_system
root              5825   0.0  0.1 435353104   7744   ??  Ss    9:36PM   0:55.52 /usr/libexec/mobileassetd
root              4893   0.0  0.0 435340240   3008   ??  Ss   Wed03AM   0:00.49 /usr/libexec/wifivelocityd
root              4113   0.0  0.0 435305248   1600   ??  Ss   Tue08PM   0:00.04 /System/Library/CoreServices/CrashReporterSupportHelper server-init
root               587   0.0  0.0 435340944   3152   ??  Ss   Tue08PM   0:01.02 /System/Library/CoreServices/SubmitDiagInfo server-init
root              1630   0.0  0.0 435313536    800   ??  Ss   Tue08PM   0:00.04 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
root               740   0.0  0.0 435308848   1600 s000  Ss   Tue08PM   0:00.01 login -pfl arisene /bin/bash -c exec -la zsh /bin/zsh
root               570   0.0  0.1 435350720   5664   ??  Ss   Tue08PM   0:08.91 /usr/libexec/gamepolicyd
root               549   0.0  0.0 435306640    864   ??  Ss   Tue08PM   0:00.08 automountd
root               429   0.0  0.0 435346944   4160   ??  Ss   Tue08PM   0:01.69 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
root               374   0.0  0.0 435340288   3024   ??  Ss   Tue08PM   0:02.57 /usr/libexec/wifianalyticsd
root               364   0.0  0.0 435340944   1824   ??  S    Tue08PM   0:00.52 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
root               341   0.0  0.0 435304736   1824   ??  Ss   Tue08PM   0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
root               336   0.0  0.0 435316144   3840   ??  Ss   Tue08PM   0:00.73 /usr/sbin/filecoordinationd
root               334   0.0  0.0 435339552   3552   ??  Ss   Tue08PM   0:00.76 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root               328   0.0  0.0 435342608   3296   ??  Ss   Tue08PM   0:02.59 /usr/libexec/rtcreportingd
root               319   0.0  0.1 435365072   5936   ??  Ss   Tue08PM   0:02.09 /usr/libexec/searchpartyd
root               313   0.0  0.0 436579152   1584   ??  Ss   Tue08PM   0:00.11 /Library/PrivilegedHelperTools/com.docker.vmnetd
root               306   0.0  0.0 435340944   2384   ??  Ss   Tue08PM   0:00.10 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
root               292   0.0  0.0 435310464   2000   ??  Ss   Tue08PM   0:07.88 /usr/libexec/audioclocksyncd
root               267   0.0  0.1 435340176   4480   ??  Ss   Tue08PM   0:05.76 /usr/sbin/WirelessRadioManagerd
root               265   0.0  0.0 435340400   2688   ??  Ss   Tue08PM   0:07.37 /System/Library/CoreServices/TimeMachine/backupd
arisene          10702   0.0  0.0 410059936    192 s006  R+    7:44AM   0:00.00 grep root
root               222   0.0  0.0 435304864   1360   ??  S    Tue08PM   0:00.54 /usr/sbin/distnoted agent
root               229   0.0  0.0 435306000   1760   ??  Ss   Tue08PM   0:00.54 /usr/sbin/mDNSResponderHelper
root               200   0.0  0.0 435343312   3312   ??  Ss   Tue08PM   0:09.41 /usr/libexec/eligibilityd
root               196   0.0  0.1 435342992   4512   ??  Ss   Tue08PM   0:00.92 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root               193   0.0  0.0 435305376   1904   ??  Ss   Tue08PM   0:00.03 /usr/libexec/ApplicationFirewall/socketfilterfw
root               179   0.0  0.0 435341984   2688   ??  Ss   Tue08PM   0:01.54 /usr/libexec/aned
root               180   0.0  0.0 435338864   3216   ??  Ss   Tue08PM   0:04.65 /usr/libexec/nehelper
root               177   0.0  0.0 435304624   2144   ??  Ss   Tue08PM   1:34.36 /usr/libexec/apfsd
root               174   0.0  0.1 435349392   4576   ??  Ss   Tue08PM   0:07.60 /usr/libexec/lsd runAsRoot
root               170   0.0  0.1 435351424   8896   ??  Ss   Tue08PM   1:46.71 /usr/libexec/runningboardd
root               169   0.0  0.0 435324656   3024   ??  Ss   Tue08PM   0:01.06 /System/Library/CoreServices/coreservicesd
root               164   0.0  0.0 435359056   3776   ??  Ss   Tue08PM   0:06.05 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               106   0.0  0.0 435305568   1504   ??  Ss   Tue08PM   0:00.02 /usr/libexec/IOMFB_bics_daemon
root               152   0.0  0.0 435339408   2288   ??  Ss   Tue08PM   0:00.15 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root                96   0.0  0.1 435346432   5152   ??  Ss   Tue08PM   0:05.50 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               130   0.0  0.1 435347952   6432   ??  Ss   Tue08PM   0:12.99 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               162   0.0  0.0 435338960   3136   ??  Ss   Tue08PM   0:00.35 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root                99   0.0  0.0 435350960   3632   ??  Ss   Tue08PM   0:02.53 /usr/sbin/systemstats --daemon
root               127   0.0  0.0 435305856    528   ??  Ss   Tue08PM   0:13.49 /usr/sbin/syslogd
root               105   0.0  0.1 435340656   4880   ??  Ss   Tue08PM   0:19.42 /System/Library/CoreServices/powerd.bundle/powerd
root               120   0.0  0.2 435362784  12896   ??  Ss   Tue08PM   0:57.08 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
root               153   0.0  0.0 435301280    848   ??  Ss   Tue08PM   0:00.02 /usr/sbin/KernelEventAgent
